Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Philippines,PHL,2022,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,35.874
Philippines,PHL,2020,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,36.61565
Philippines,PHL,2018,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,37.3187
Philippines,PHL,2016,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,38.7248
Philippines,PHL,2014,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,40.13089
Philippines,PHL,2012,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,41.53699
Philippines,PHL,2010,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,42.94309
Philippines,PHL,2008,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,44.34919
Philippines,PHL,2006,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,45.75529
Philippines,PHL,2004,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,47.16139
Philippines,PHL,2002,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.56749
Philippines,PHL,2000,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,49.97359
Philippines,PHL,2023,Income share held by second 20%,SI.DST.02ND.20,10.7
Philippines,PHL,2021,Income share held by second 20%,SI.DST.02ND.20,10.4
Philippines,PHL,2018,Income share held by second 20%,SI.DST.02ND.20,9.9
Philippines,PHL,2015,Income share held by second 20%,SI.DST.02ND.20,9.2
Philippines,PHL,2012,Income share held by second 20%,SI.DST.02ND.20,8.7
Philippines,PHL,2009,Income share held by second 20%,SI.DST.02ND.20,8.8
Philippines,PHL,2006,Income share held by second 20%,SI.DST.02ND.20,8.5
Philippines,PHL,2003,Income share held by second 20%,SI.DST.02ND.20,8.8
Philippines,PHL,2000,Income share held by second 20%,SI.DST.02ND.20,8.5
Philippines,PHL,1997,Income share held by second 20%,SI.DST.02ND.20,8.9
Philippines,PHL,1994,Income share held by second 20%,SI.DST.02ND.20,9.5
Philippines,PHL,1991,Income share held by second 20%,SI.DST.02ND.20,9.3
Philippines,PHL,1988,Income share held by second 20%,SI.DST.02ND.20,10.1
Philippines,PHL,1985,Income share held by second 20%,SI.DST.02ND.20,10.1
Philippines,PHL,2023,Income share held by third 20%,SI.DST.03RD.20,14.6
Philippines,PHL,2021,Income share held by third 20%,SI.DST.03RD.20,14.3
Philippines,PHL,2018,Income share held by third 20%,SI.DST.03RD.20,14
Philippines,PHL,2015,Income share held by third 20%,SI.DST.03RD.20,13.4
Philippines,PHL,2012,Income share held by third 20%,SI.DST.03RD.20,13
Philippines,PHL,2009,Income share held by third 20%,SI.DST.03RD.20,13
